Username,Password,Grade
Dr. Benjamin Ward,EE9tQW7NBEjk,intermediate
Michelle Garcia,HLO6BRyO6L,beginner
Stacey Jones,nEfo0d12i0,advanced
Paul Martinez,qFopgyh0n394,expert
Steven Scott,ICC3kUKw,advanced
Tiffany Woods,WMhLb4qN,intermediate
Jeffrey Johnson,gKH33Ky2mZ,expert
Amy Garcia,ioI50iQWV,expert
Jennifer Hall,IF2rgCTR3n,beginner
Chris Robinson,jw8Z4zfnby,advanced
Lydia Young,DR9Bnt5V9Dm,beginner
Lisa Murphy,aLztK2LmU9,beginner
Samantha Stevens,dGKZhjV7qkq,advanced
Jason Wang,Dalrvwp9wEnT,advanced
Amy Pena,QdfVU5AXGf,advanced
Carol Lawson,sCfcCUtxGt,intermediate
Benjamin Day,K9ZFuOjH1o,intermediate
Melanie Brown,f01xhFnQe,beginner
Teresa Bullock,4FDA87TGk,beginner
Frank Richardson,xdu9fu1U80,expert
Richard Soto,Lz3Soi0Ya,beginner
Ashlee Jimenez,RkCkB2Qw1rD7,advanced
Michelle Hester,s8eFra6Ip,beginner
Eric Bell,bEkANN2l,expert
Kristen Hale,jQJmmWmT,advanced
Matthew Barrera,ZPbOZlg3W92m,beginner
Emma Wagner,rfLXi8T0bO,beginner
Sheila Maldonado DVM,neVH6caGL,advanced
Wesley Miles,TtWDq4PbYQ,expert
Colleen Taylor,D469MZSnTM1M,advanced
Frank Banks,qJ1fKh2zm01E,intermediate
Luis Fisher,CNTfWH9klP,expert
Gary Myers,ymwoqXlJNdm,expert
Ryan Joseph,qjX0hZrhp,beginner
Sophia Wright,6QKBkBeON,advanced
Kimberly Hodges,24NP6PjdO,intermediate
Kevin Gibson,uwyo8jZW,expert
Edward Sullivan,NHjOGmMj8cU,advanced
Garrett Brown,Wa4ArtRu4,beginner
Michelle Gaines,U46XS6d1Xo,beginner
Kenneth Sanchez,CAoD7EU4ygb,expert
David Velez,BMq8jLZKhPIo,beginner
Theresa Turner,HyqHQrINV4T,expert
Shawn Williams,imzL35HAqmDB,intermediate
Andrew Johnson,Weh4y7wBvNm,expert
Erin Hensley,jd9cnJPRglg,advanced
William Williams,4XOWrB37,expert
Rebecca Ramirez,5hhFEzOgQBab,beginner
April Cobb,U3681utS,expert
Brianna Rowland,DDFt9YXvOZ,intermediate
Rachel Boone,B018J1jwts,beginner
Steven Bennett,3Xy5AzNu,advanced
Erika Morrison,dWYwrIRz,expert
Lindsey Swanson,KNmDYFHK7,expert
Alexander Parker,fPluZnI25tCf,beginner
Keith Murphy,hZsyyJ2ycr,intermediate
Bobby Miller,2nl5QQxfx,beginner
Lauren Wall,07eSNpsOS,advanced
Mark George,jfZEBX8b,beginner
Keith Miller,q04VwJ1US,advanced
Dakota Grant,bYlWUkPkxt,advanced
Amy Bailey,lrNsgDpH,expert
Edward Austin,cdnSf5OMqxgm,advanced
Rebecca Higgins,CsY9aoXVnAGU,advanced
Wayne Clark,CyDMkGhTOr0i,intermediate
Nicholas Johnston,3ftLlCiZF5,beginner
Andrew Williams,BijOf7tZ,expert
Katelyn Mccarthy,vIzIZ9IHo,advanced
Nicholas Armstrong,wTAz34QGl,intermediate
Tanner Price,81NNwxZ7wknk,advanced
Carlos Adams,Gsecjhflq5b,intermediate
Barry Anderson,NxTE8odpmjFy,expert
Steven Garner,UMg2vF8cP,advanced
Kenneth Joyce,P5LrEJto8,intermediate
Cindy Krueger,hz6DEEl0JD,expert
Nicole Williams,wDpQQFzUm,beginner
Amber Rodriguez,TBjfdMOh7t,advanced
James Lyons,ZYJB4WoXA,beginner
Nicholas David,NS70JeZHg,beginner
Rachel Young,Okj2rjqusPq,intermediate
Dr. Kenneth Nunez,IPdg00H2dJ,expert
Jonathan Lucero,GhwVLIOpxy5p,intermediate
Stephen Leon,0JJcqOma,beginner
Dylan Watkins,6YI6tRYZjQ0,beginner
Glenn Miller,ZXSNRNPk,beginner
Heather Branch,uARs3FZZF,beginner
Christina Horne,246tveU6zty,expert
Michelle Bean,BjiSd557,advanced
Kenneth Young,HZg4FlJejHRK,beginner
Jonathan Smith,psU98Iggnp,advanced
Matthew Garner,lW3yDUdVz,beginner
Kristen Miller,8BydQrMWmCXb,expert
Matthew Griffith,ANzrou2x,beginner
Caitlin Ray,KSkqS4HBfNC,intermediate
Angela Gonzalez,jLaPI7cqHS,beginner
Monica Chen,XCMK1A63,expert
William Beltran,TWhywujq,beginner
Rachel Dorsey,6dRgtDJWJ8RV,beginner
Justin Norton,68eSFF7Xc,advanced
George Roberts DDS,WgBJcoWw,beginner
